Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,tb uncoordinated traj
163.055473792,367627.0,108.669009851573,307274.0,185.50275297429312,426619.0,0.0,0.0,0.0,96.532671599005
164.054350064,368852.0,109.791656795786,307274.0,187.6510671352497,426619.0,0.0,0.0,0.0,97.199492039439
165.053518543,369350.0,110.857538024648,308335.0,189.6900197196608,426750.0,0.0,0.0,0.0,98.103047702715
166.053939618,369862.0,111.225668527624,308335.0,190.39027241760235,426750.0,0.0,0.0,0.0,102.698076382112
167.053522789,370369.0,111.885310408303,308335.0,191.672234736413,426750.0,0.0,0.0,0.0,103.700549763789
168.055190587,371014.0,113.176489236941,309675.0,194.1248895690105,426791.0,0.0,0.0,0.0,104.890639010958
169.055412533,371677.0,113.946863835121,309675.0,195.52684258495808,426791.0,0.0,0.0,0.0,106.390403852282
170.054940581,373170.0,115.269450482178,312588.0,197.8596791296741,426617.0,0.0,0.0,0.0,107.36794623913
171.05606447,374667.0,115.872457898906,312588.0,198.92323104421496,426617.0,0.0,0.0,0.0,108.669673720433
172.056770555,378183.0,118.072019820717,319198.0,202.8227061586207,426803.0,0.0,0.0,0.0,109.79423889878
173.057259631,381775.0,119.74364616782,325997.0,205.81052894229023,426731.0,0.0,0.0,0.0,110.858914653591
174.059163657,385313.0,120.927629344876,325997.0,207.93909861970369,426731.0,0.0,0.0,0.0,111.229115959524
175.058501264,391873.0,122.082947548021,339030.0,210.07103837283256,426769.0,0.0,0.0,0.0,111.891727806897
176.058172022,396462.0,123.041912123109,348301.0,211.8457490676261,426769.0,0.0,0.0,0.0,113.178785549074
177.060844896,400945.0,124.266122345357,348301.0,214.2145017084013,426818.0,0.0,0.0,0.0,113.954051998355
178.059379752,402918.0,125.679107888877,352421.0,216.93910158803405,426818.0,0.0,0.0,0.0,115.272124330107
179.060829939,404843.0,126.684772979195,352421.0,218.86363818713608,426818.0,0.0,0.0,0.0,115.882932447137
180.059804049,407934.0,127.418084390284,358861.0,220.2566693992166,426861.0,0.0,0.0,0.0,118.077088210383
181.060832926,411042.0,127.945807496113,358861.0,221.2535686602606,426861.0,0.0,0.0,0.0,119.747868848892
182.059005679,415927.0,128.872781494806,368552.0,222.92088698906483,427062.0,0.0,0.0,0.0,120.92744265704
183.058638308,420890.0,129.731944815046,368552.0,224.43790362989773,427062.0,0.0,0.0,0.0,122.083079011646
184.05830995,424567.0,130.748164896504,375681.0,226.2050906005473,427484.0,0.0,0.0,0.0,123.042080525857
185.059442655,428253.0,131.686434413865,375681.0,227.86912709111743,427484.0,0.0,0.0,0.0,124.264410283716
186.061459363,432300.0,132.867444223154,383428.0,229.98145171314647,428270.0,0.0,0.0,0.0,125.681196252543
187.060482652,436211.0,133.718472216183,383428.0,231.48365972099447,428270.0,0.0,0.0,0.0,126.684424230534
188.060854008,442867.0,134.775055166437,396535.0,233.4337006911676,433946.0,0.0,0.0,0.0,127.418637908406
189.062415296,449740.0,135.603503774173,410589.0,235.0064424188444,446942.0,0.0,0.0,0.0,127.947276997101
190.06055762,456424.0,136.651626879157,410589.0,237.01731182834004,446942.0,0.0,0.0,0.0,128.87411535561
191.062463573,459269.0,137.762392613706,416556.0,239.14881800820584,452905.0,0.0,0.0,0.0,129.735833403005
192.062112467,462061.0,139.083649791452,416556.0,241.6405757934909,452905.0,0.0,0.0,0.0,130.751728645618
193.060506304,463928.0,139.898051998114,420328.0,243.19356071702296,456677.0,0.0,0.0,0.0,131.687688065518
194.06038396,465802.0,140.891566114776,420328.0,244.99696087272991,456677.0,0.0,0.0,0.0,132.86617671785
195.060435522,469787.0,141.981066239374,428067.0,246.9973056933476,464416.0,0.0,0.0,0.0,133.718432068021
196.061710212,473742.0,142.570084410853,428067.0,248.0360211279765,464416.0,0.0,0.0,0.0,134.775763381721
197.06154373,478555.0,143.126032879528,437247.0,249.00377886555933,473596.0,0.0,0.0,0.0,135.602782852101
198.060683086,483362.0,144.503867313177,437247.0,251.4550097605297,473596.0,0.0,0.0,0.0,136.651765977376
199.06322395,485507.0,145.92509669151,441327.0,254.0128216372602,477632.0,0.0,0.0,0.0,137.763397620139
200.061421061,489707.0,147.268179013864,449598.0,256.45508939288163,485903.0,0.0,0.0,0.0,139.082735945455
201.062190732,493789.0,148.040209307409,449598.0,257.8629351784435,485903.0,0.0,0.0,0.0,139.899725705879
202.062913663,496915.0,149.69811150931,456132.0,261.0002905117906,492437.0,0.0,0.0,0.0,140.894322084406
203.063349752,500005.0,151.048095126624,456132.0,263.5550196338489,492437.0,0.0,0.0,0.0,141.982780588536
204.064416235,502811.0,152.458889839064,462030.0,266.24440376776977,498335.0,0.0,0.0,0.0,142.571589070695
205.064950209,509520.0,153.438099345792,476030.0,268.1175447361726,498335.0,0.0,0.0,0.0,143.130730486559
206.064109969,516251.0,153.864317079703,476030.0,268.9062180229065,512335.0,0.0,0.0,0.0,144.508725356346
207.063816816,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,145.92589439753
208.06587253,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,147.271613039713
209.063576061,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,148.042504388223
210.063878747,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,149.69941378899
211.06400601,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,151.049019985594
212.062576481,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,152.456297088972
213.062486118,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.435687772177
214.062887651,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.863795667984
215.065850711,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
216.065975811,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
217.06402838,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
218.063878243,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
219.066539593,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
220.063433485,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
221.06577631,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
222.066904621,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
223.065073142,521947.0,153.866711006013,487220.0,268.91067563989384,523525.0,0.0,0.0,0.0,153.866711006013
