Time Elapsed (s),Explored Cells,Trajectory Length (m)
571.044637181,424313,0.0
572.052621105,424313,0.0
573.049576285,424313,0.0
574.049252992,424313,0.0
575.046585912,424713,0.0
576.045743993,424713,0.0
577.046697173,424713,0.0
578.046755622,424713,0.0
579.052715448,424713,0.0
580.050635108,425921,0.0
581.048530564,425921,0.0
582.045652217,425921,0.0
583.045477767,425921,0.0
584.044740653,425921,0.0
585.044520559,425921,0.0
586.045752315,425921,0.0
587.048865824,425921,0.0
588.04334878,425921,0.0
589.051868355,425921,0.0
590.045276688,425921,0.0
591.046984427,425921,0.0
592.048341589,425921,0.0
593.04858454,425921,0.0
594.047918616,425921,0.0
595.046134708,425921,0.0
596.079950884,425921,0.0
597.080519347,425921,0.0
598.082812088,425921,0.0
599.081525214,425921,0.0
600.082735987,427190,0.0
601.047880657,427190,0.0
602.08349002,427190,0.0
603.082719156,427190,0.0
604.081641898,427190,0.0
605.081334372,427190,0.0
606.083185756,427190,0.0
607.067240065,427190,0.0
608.047507056,427190,0.0
609.047324337,427190,0.0
610.044727808,427190,0.0
611.043492372,427190,0.0
612.051949479,427190,0.0
613.045928066,427190,0.0
614.053544896,427190,0.0
615.046880557,427190,0.0
616.065985805,427190,0.0
617.044542604,427190,0.0
618.045276372,427190,0.0
619.044670321,427190,0.0
620.04864226,428026,0.0
621.044975578,428026,0.0
622.048114767,428026,0.0
623.044416923,428026,0.0
624.050894308,428026,0.0
625.049624227,428026,0.0
626.046677452,428026,0.0
627.044330415,428026,0.0
628.047714896,428026,0.0
629.04755076,428026,0.0
630.049081601,428026,0.0
631.047436835,428026,0.0
632.048237902,428026,0.0
633.049284705,428026,0.0
634.051512836,428026,0.0
635.045291525,428026,0.0
636.050714136,428026,0.0
637.047963172,428026,0.0
638.049092466,428026,0.0
639.04572021,428026,0.0
640.049938645,429695,0.0
641.048991793,429695,0.0
642.050896364,429695,0.0
643.046836716,429695,0.0
644.050949905,429695,0.0
645.046911435,429695,0.0
646.04827449,429695,0.0
647.045654434,429695,0.0
648.046878685,429695,0.0
649.049386943,429695,0.0
650.050636128,429695,0.0
651.04900827,429695,0.0
652.044599229,429695,0.0
653.046397866,429695,0.0
654.048392327,429695,0.0
655.046270445,429695,0.0
656.047376417,429695,0.0
657.050062811,429695,0.0
658.049616062,429695,0.0
659.050716032,429695,0.0
660.047513323,430544,0.0
661.046609745,430544,0.0
662.048356716,430544,0.0
663.049884078,430544,0.0
664.045007524,430544,0.0
665.082845658,430544,0.0
666.059525155,430544,0.0
667.044554225,430544,0.0
668.048215599,430544,0.0
669.046655477,430544,0.0
670.04580896,430544,0.0
671.044383516,430544,0.0
672.047073138,430544,0.0
673.048306049,430544,0.0
674.048515154,430544,0.0
675.050777417,430544,0.0
676.050206556,430544,0.0
677.04929675,430544,0.0
678.045976829,430544,0.0
679.046308595,430544,0.0
680.044310916,431466,0.0
681.046536371,431466,0.0
682.047785017,431466,0.0
683.045315249,431466,0.0
684.052463696,431466,0.0
685.04703709,431466,0.0
686.045695031,431466,0.0
687.047155662,431466,0.0
688.046927129,431466,0.0
689.049712229,431466,0.0
690.047305437,431466,0.0
691.054380978,431466,0.0
692.046737126,431466,0.0
693.082938353,431466,0.0
694.046512096,431466,0.0
695.082067452,431466,0.0
696.047137575,431466,0.0
697.052259872,431466,0.0
698.04506799,431466,0.0
699.046729304,431466,0.0
700.04744161,431865,0.0
701.049895417,431865,0.0
702.044420736,431865,0.0
703.046017612,431865,0.0
704.048393043,431865,0.0
705.049475475,431865,0.0
706.048241411,431865,0.0
707.044603553,431865,0.0
708.047672907,431865,0.0
709.049527988,431865,0.0
710.047643028,431865,0.0
711.048616321,431865,0.0
712.044588642,431865,0.0
713.052848726,431865,0.0
714.045754466,431865,0.0
715.04824313,431865,0.0
716.045430668,431865,0.0
717.048008263,431865,0.0
718.048780676,431865,0.0
719.050034247,431865,0.0
720.044541148,432438,0.0
721.045838057,432438,0.0
722.051700258,432438,0.0
723.047416109,432438,0.0
724.049515632,432438,0.0
725.049290514,432457,0.0
726.048125388,432457,0.0
727.046840024,432457,0.0
728.044606204,432457,0.0
729.051668191,432457,0.0
730.044661456,432457,0.0
731.049066801,432457,0.0
732.050361306,432457,0.0
733.081692384,432457,0.0
734.081919632,432457,0.0
735.052800827,432457,0.0
736.045964611,432457,0.0
737.050688055,432457,0.0
738.048492554,432457,0.0
739.044993532,432457,0.0
740.051751959,432654,0.0
741.046769726,432654,0.0
